GENEID,TXNAME
K562_RS00005,K562_RS00005
K562_RS00010,K562_RS00010
K562_RS00015,K562_RS00015
K562_RS00020,K562_RS00020
K562_RS00025,K562_RS00025
K562_RS00030,K562_RS00030
K562_RS00035,K562_RS00035
K562_RS00040,K562_RS00040
K562_RS00045,K562_RS00045
K562_RS00050,K562_RS00050
K562_RS00055,K562_RS00055
K562_RS00060,K562_RS00060
K562_RS00065,K562_RS00065
K562_RS00070,K562_RS00070
K562_RS00075,K562_RS00075
K562_RS00080,K562_RS00080
K562_RS00085,K562_RS00085
K562_RS00090,K562_RS00090
K562_RS00095,K562_RS00095
K562_RS00100,K562_RS00100
K562_RS00105,K562_RS00105
K562_RS00110,K562_RS00110
K562_RS00115,K562_RS00115
K562_RS00120,K562_RS00120
K562_RS00125,K562_RS00125
K562_RS00130,K562_RS00130
K562_RS00135,K562_RS00135
K562_RS00140,K562_RS00140
K562_RS00145,K562_RS00145
K562_RS00150,K562_RS00150
K562_RS00155,K562_RS00155
K562_RS00160,K562_RS00160
K562_RS00165,K562_RS00165
K562_RS00170,K562_RS00170
K562_RS00175,K562_RS00175
K562_RS00180,K562_RS00180
K562_RS00185,K562_RS00185
K562_RS00190,K562_RS00190
K562_RS00195,K562_RS00195
K562_RS00200,K562_RS00200
K562_RS00205,K562_RS00205
K562_RS00210,K562_RS00210
K562_RS00215,K562_RS00215
K562_RS00220,K562_RS00220
K562_RS00225,K562_RS00225
K562_RS00230,K562_RS00230
K562_RS00235,K562_RS00235
K562_RS00240,K562_RS00240
K562_RS00245,K562_RS00245
K562_RS00250,K562_RS00250
K562_RS00255,K562_RS00255
K562_RS00260,K562_RS00260
K562_RS00265,K562_RS00265
K562_RS00270,K562_RS00270
K562_RS00275,K562_RS00275
K562_RS00280,K562_RS00280
K562_RS00285,K562_RS00285
K562_RS00290,K562_RS00290
K562_RS00295,K562_RS00295
K562_RS00300,K562_RS00300
K562_RS00305,K562_RS00305
K562_RS00310,K562_RS00310
K562_RS00315,K562_RS00315
K562_RS00320,K562_RS00320
K562_RS00325,K562_RS00325
K562_RS00330,K562_RS00330
K562_RS00335,K562_RS00335
K562_RS00340,K562_RS00340
K562_RS00345,K562_RS00345
K562_RS00350,K562_RS00350
K562_RS00355,K562_RS00355
K562_RS00360,K562_RS00360
K562_RS00365,K562_RS00365
K562_RS00370,K562_RS00370
K562_RS00375,K562_RS00375
K562_RS00380,K562_RS00380
K562_RS00385,K562_RS00385
K562_RS00390,K562_RS00390
K562_RS00395,K562_RS00395
K562_RS00400,K562_RS00400
K562_RS00405,K562_RS00405
K562_RS00410,K562_RS00410
K562_RS00420,K562_RS00420
K562_RS00425,K562_RS00425
K562_RS00430,K562_RS00430
K562_RS00435,K562_RS00435
K562_RS00440,K562_RS00440
K562_RS00445,K562_RS00445
K562_RS00450,K562_RS00450
K562_RS00455,K562_RS00455
K562_RS00460,K562_RS00460
K562_RS00465,K562_RS00465
K562_RS00470,K562_RS00470
K562_RS00475,K562_RS00475
K562_RS00480,K562_RS00480
K562_RS00485,K562_RS00485
K562_RS00490,K562_RS00490
K562_RS00495,K562_RS00495
K562_RS00500,K562_RS00500
K562_RS00505,K562_RS00505
K562_RS00510,K562_RS00510
K562_RS00515,K562_RS00515
K562_RS00520,K562_RS00520
K562_RS00525,K562_RS00525
K562_RS00530,K562_RS00530
K562_RS35335,K562_RS35335
K562_RS35365,K562_RS35365
K562_RS00540,K562_RS00540
K562_RS00545,K562_RS00545
K562_RS00550,K562_RS00550
K562_RS00555,K562_RS00555
K562_RS00560,K562_RS00560
K562_RS00565,K562_RS00565
K562_RS00570,K562_RS00570
K562_RS00575,K562_RS00575
K562_RS00580,K562_RS00580
K562_RS00585,K562_RS00585
K562_RS00590,K562_RS00590
K562_RS00595,K562_RS00595
